日付,氏名,所属店舗,シフト区分,備考
2026/08/01,桑原和裕,総括G,休日,
2026/08/02,桑原和裕,総括G,出勤,
2026/08/03,桑原和裕,総括G,休日,
2026/08/04,桑原和裕,総括G,出勤,
2026/08/05,桑原和裕,総括G,出勤,
2026/08/06,桑原和裕,総括G,出勤,
2026/08/07,桑原和裕,総括G,出勤,
2026/08/08,桑原和裕,総括G,出勤,
2026/08/09,桑原和裕,総括G,出勤,
2026/08/10,桑原和裕,総括G,休日,全社指定一斉休暇
2026/08/11,桑原和裕,総括G,休日,全社指定一斉休暇
2026/08/12,桑原和裕,総括G,休日,全社指定一斉休暇
2026/08/13,桑原和裕,総括G,休日,全社指定一斉休暇
2026/08/14,桑原和裕,総括G,休日,全社指定一斉休暇
2026/08/15,桑原和裕,総括G,休日,全社指定一斉休暇
2026/08/16,桑原和裕,総括G,休日,全社指定一斉休暇
2026/08/17,桑原和裕,総括G,休日,全社指定一斉休暇
2026/08/18,桑原和裕,総括G,休日,全社指定一斉休暇
2026/08/19,桑原和裕,総括G,出勤,全社指定一斉休暇
2026/08/20,桑原和裕,総括G,出勤,全社指定一斉休暇
2026/08/21,桑原和裕,総括G,出勤,全社指定一斉休暇
2026/08/22,桑原和裕,総括G,出勤,全社指定一斉休暇
2026/08/23,桑原和裕,総括G,出勤,全社指定一斉休暇
2026/08/24,桑原和裕,総括G,出勤,
2026/08/25,桑原和裕,総括G,休日,
2026/08/26,桑原和裕,総括G,午前/午後半休,
2026/08/27,桑原和裕,総括G,出勤,
2026/08/28,桑原和裕,総括G,出勤,
2026/08/29,桑原和裕,総括G,出勤,
2026/08/30,桑原和裕,総括G,休日,
2026/08/31,桑原和裕,総括G,出勤,
2026/08/01,佐藤耕次,総括G,出勤,
2026/08/02,佐藤耕次,総括G,出勤,
2026/08/03,佐藤耕次,総括G,出勤,
2026/08/04,佐藤耕次,総括G,出勤,
2026/08/05,佐藤耕次,総括G,出勤,
2026/08/06,佐藤耕次,総括G,出勤,
2026/08/07,佐藤耕次,総括G,出勤,
2026/08/08,佐藤耕次,総括G,出勤,
2026/08/09,佐藤耕次,総括G,有給休暇,
2026/08/10,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/11,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/12,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/13,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/14,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/15,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/16,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/17,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/18,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/19,佐藤耕次,総括G,出勤,全社指定一斉休暇
2026/08/20,佐藤耕次,総括G,出勤,全社指定一斉休暇
2026/08/21,佐藤耕次,総括G,出勤,全社指定一斉休暇
2026/08/22,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/23,佐藤耕次,総括G,休日,全社指定一斉休暇
2026/08/24,佐藤耕次,総括G,休日,
2026/08/25,佐藤耕次,総括G,休日,
2026/08/26,佐藤耕次,総括G,出勤,
2026/08/27,佐藤耕次,総括G,出勤,
2026/08/28,佐藤耕次,総括G,休日,
2026/08/29,佐藤耕次,総括G,出勤,
2026/08/30,佐藤耕次,総括G,出勤,
2026/08/31,佐藤耕次,総括G,出勤,
2026/08/01,足立正道,総括G,午前/午後半休,
2026/08/02,足立正道,総括G,有給休暇,
2026/08/03,足立正道,総括G,休日,
2026/08/04,足立正道,総括G,出勤,
2026/08/05,足立正道,総括G,出勤,
2026/08/06,足立正道,総括G,休日,
2026/08/07,足立正道,総括G,出勤,
2026/08/08,足立正道,総括G,出勤,
2026/08/09,足立正道,総括G,出勤,
2026/08/10,足立正道,総括G,休日,全社指定一斉休暇
2026/08/11,足立正道,総括G,休日,全社指定一斉休暇
2026/08/12,足立正道,総括G,休日,全社指定一斉休暇
2026/08/13,足立正道,総括G,休日,全社指定一斉休暇
2026/08/14,足立正道,総括G,休日,全社指定一斉休暇
2026/08/15,足立正道,総括G,休日,全社指定一斉休暇
2026/08/16,足立正道,総括G,休日,全社指定一斉休暇
2026/08/17,足立正道,総括G,休日,全社指定一斉休暇
2026/08/18,足立正道,総括G,休日,全社指定一斉休暇
2026/08/19,足立正道,総括G,出勤,全社指定一斉休暇
2026/08/20,足立正道,総括G,出勤,全社指定一斉休暇
2026/08/21,足立正道,総括G,出勤,全社指定一斉休暇
2026/08/22,足立正道,総括G,出勤,全社指定一斉休暇
2026/08/23,足立正道,総括G,出勤,全社指定一斉休暇
2026/08/24,足立正道,総括G,出勤,
2026/08/25,足立正道,総括G,出勤,
2026/08/26,足立正道,総括G,休日,
2026/08/27,足立正道,総括G,出勤,
2026/08/28,足立正道,総括G,出勤,
2026/08/29,足立正道,総括G,休日,
2026/08/30,足立正道,総括G,出勤,
2026/08/31,足立正道,総括G,出勤,
2026/08/01,坂本幸夫,総括G,出勤,
2026/08/02,坂本幸夫,総括G,出勤,
2026/08/03,坂本幸夫,総括G,出勤,
2026/08/04,坂本幸夫,総括G,休日,
2026/08/05,坂本幸夫,総括G,出勤,
2026/08/06,坂本幸夫,総括G,出勤,
2026/08/07,坂本幸夫,総括G,出勤,
2026/08/08,坂本幸夫,総括G,休日,
2026/08/09,坂本幸夫,総括G,出勤,
2026/08/10,坂本幸夫,総括G,休日,全社指定一斉休暇
2026/08/11,坂本幸夫,総括G,休日,全社指定一斉休暇
2026/08/12,坂本幸夫,総括G,休日,全社指定一斉休暇
2026/08/13,坂本幸夫,総括G,休日,全社指定一斉休暇
2026/08/14,坂本幸夫,総括G,休日,全社指定一斉休暇
2026/08/15,坂本幸夫,総括G,休日,全社指定一斉休暇
2026/08/16,坂本幸夫,総括G,休日,全社指定一斉休暇
2026/08/17,坂本幸夫,総括G,休日,全社指定一斉休暇
2026/08/18,坂本幸夫,総括G,休日,全社指定一斉休暇
2026/08/19,坂本幸夫,総括G,出勤,全社指定一斉休暇
2026/08/20,坂本幸夫,総括G,出勤,全社指定一斉休暇
2026/08/21,坂本幸夫,総括G,出勤,全社指定一斉休暇
2026/08/22,坂本幸夫,総括G,出勤,全社指定一斉休暇
2026/08/23,坂本幸夫,総括G,出勤,全社指定一斉休暇
2026/08/24,坂本幸夫,総括G,出勤,
2026/08/25,坂本幸夫,総括G,休日,
2026/08/26,坂本幸夫,総括G,出勤,
2026/08/27,坂本幸夫,総括G,出勤,
2026/08/28,坂本幸夫,総括G,休日,
2026/08/29,坂本幸夫,総括G,休日,
2026/08/30,坂本幸夫,総括G,出勤,
2026/08/31,坂本幸夫,総括G,出勤,
2026/08/01,杉山和彦,横浜店,出勤,
2026/08/02,杉山和彦,横浜店,出勤,
2026/08/03,杉山和彦,横浜店,休日,
2026/08/04,杉山和彦,横浜店,出勤,
2026/08/05,杉山和彦,横浜店,出勤,
2026/08/06,杉山和彦,横浜店,休日,
2026/08/07,杉山和彦,横浜店,出勤,
2026/08/08,杉山和彦,横浜店,出勤,
2026/08/09,杉山和彦,横浜店,出勤,
2026/08/10,杉山和彦,横浜店,休日,全社指定一斉休暇
2026/08/11,杉山和彦,横浜店,休日,全社指定一斉休暇
2026/08/12,杉山和彦,横浜店,休日,全社指定一斉休暇
2026/08/13,杉山和彦,横浜店,休日,全社指定一斉休暇
2026/08/14,杉山和彦,横浜店,休日,全社指定一斉休暇
2026/08/15,杉山和彦,横浜店,休日,全社指定一斉休暇
2026/08/16,杉山和彦,横浜店,休日,全社指定一斉休暇
2026/08/17,杉山和彦,横浜店,休日,全社指定一斉休暇
2026/08/18,杉山和彦,横浜店,休日,全社指定一斉休暇
2026/08/19,杉山和彦,横浜店,出勤,全社指定一斉休暇
2026/08/20,杉山和彦,横浜店,有休,全社指定一斉休暇
2026/08/21,杉山和彦,横浜店,出勤,全社指定一斉休暇
2026/08/22,杉山和彦,横浜店,休日,全社指定一斉休暇
